1976.png	selfie	🤳️	\U0001F933\U0000FE0F	U+1F933	selfie
1977.png	flexed biceps	💪️	\U0001F4AA\U0000FE0F	U+1F4AA	flexed biceps
1978.png	mechanical arm	🦾️	\U0001F9BE\U0000FE0F	U+1F9BE	mechanical arm
1979.png	mechanical leg	🦿️	\U0001F9BF\U0000FE0F	U+1F9BF	mechanical leg
1980.png	leg	🦵️	\U0001F9B5\U0000FE0F	U+1F9B5	leg
1981.png	foot	🦶️	\U0001F9B6\U0000FE0F	U+1F9B6	foot
1982.png	ear	👂️	\U0001F442\U0000FE0F	U+1F442	ear
1983.png	ear with hearing aid	🦻️	\U0001F9BB\U0000FE0F	U+1F9BB	ear with hearing aid
1984.png	nose	👃️	\U0001F443\U0000FE0F	U+1F443	nose
1985.png	brain	🧠️	\U0001F9E0\U0000FE0F	U+1F9E0	brain
1986.png	anatomical heart	🫀️	\U0001FAC0\U0000FE0F	U+1FAC0	anatomical heart
1987.png	lungs	🫁️	\U0001FAC1\U0000FE0F	U+1FAC1	lungs
1988.png	tooth	🦷️	\U0001F9B7\U0000FE0F	U+1F9B7	tooth
1989.png	bone	🦴️	\U0001F9B4\U0000FE0F	U+1F9B4	bone
1990.png	eyes	👀️	\U0001F440\U0000FE0F	U+1F440	eyes
1991.png	eye	👁️	\U0001F441\U0000FE0F	U+1F441	eye
1992.png	tongue	👅️	\U0001F445\U0000FE0F	U+1F445	tongue
1993.png	mouth	👄️	\U0001F444\U0000FE0F	U+1F444	mouth
1994.png	baby	👶️	\U0001F476\U0000FE0F	U+1F476	baby
1995.png	child	🧒️	\U0001F9D2\U0000FE0F	U+1F9D2	child
1996.png	boy	👦️	\U0001F466\U0000FE0F	U+1F466	boy
1997.png	girl	👧️	\U0001F467\U0000FE0F	U+1F467	girl
1998.png	person	🧑️	\U0001F9D1\U0000FE0F	U+1F9D1	person
1999.png	person: blond hair	👱️	\U0001F471\U0000FE0F	U+1F471	person: blond hair
2000.png	man	👨️	\U0001F468\U0000FE0F	U+1F468	man
2001.png	person: beard	🧔️	\U0001F9D4\U0000FE0F	U+1F9D4	person: beard
2002.png	man: red hair	👨‍🦰️	\U0001F468\U0000200D\U0001F9B0\U0000FE0F	U+1F468 U+200D U+1F9B0	man: red hair
2003.png	man: curly hair	👨‍🦱️	\U0001F468\U0000200D\U0001F9B1\U0000FE0F	U+1F468 U+200D U+1F9B1	man: curly hair
2004.png	man: white hair	👨‍🦳️	\U0001F468\U0000200D\U0001F9B3\U0000FE0F	U+1F468 U+200D U+1F9B3	man: white hair
2005.png	man: bald	👨‍🦲️	\U0001F468\U0000200D\U0001F9B2\U0000FE0F	U+1F468 U+200D U+1F9B2	man: bald
2006.png	woman	👩️	\U0001F469\U0000FE0F	U+1F469	woman
2007.png	woman: red hair	👩‍🦰️	\U0001F469\U0000200D\U0001F9B0\U0000FE0F	U+1F469 U+200D U+1F9B0	woman: red hair
2008.png	person: red hair	🧑‍🦰️	\U0001F9D1\U0000200D\U0001F9B0\U0000FE0F	U+1F9D1 U+200D U+1F9B0	person: red hair
2009.png	woman: curly hair	👩‍🦱️	\U0001F469\U0000200D\U0001F9B1\U0000FE0F	U+1F469 U+200D U+1F9B1	woman: curly hair
2010.png	person: curly hair	🧑‍🦱️	\U0001F9D1\U0000200D\U0001F9B1\U0000FE0F	U+1F9D1 U+200D U+1F9B1	person: curly hair
2011.png	woman: white hair	👩‍🦳️	\U0001F469\U0000200D\U0001F9B3\U0000FE0F	U+1F469 U+200D U+1F9B3	woman: white hair
2012.png	person: white hair	🧑‍🦳️	\U0001F9D1\U0000200D\U0001F9B3\U0000FE0F	U+1F9D1 U+200D U+1F9B3	person: white hair
2013.png	woman: bald	👩‍🦲️	\U0001F469\U0000200D\U0001F9B2\U0000FE0F	U+1F469 U+200D U+1F9B2	woman: bald
2014.png	person: bald	🧑‍🦲️	\U0001F9D1\U0000200D\U0001F9B2\U0000FE0F	U+1F9D1 U+200D U+1F9B2	person: bald
2015.png	woman: blond hair	👱‍♀️️	\U0001F471\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F471 U+200D U+2640 U+FE0F	woman: blond hair
2016.png	man: blond hair	👱‍♂️️	\U0001F471\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F471 U+200D U+2642 U+FE0F	man: blond hair
2017.png	older person	🧓️	\U0001F9D3\U0000FE0F	U+1F9D3	older person
2018.png	old man	👴️	\U0001F474\U0000FE0F	U+1F474	old man
2019.png	old woman	👵️	\U0001F475\U0000FE0F	U+1F475	old woman
2020.png	person frowning	🙍️	\U0001F64D\U0000FE0F	U+1F64D	person frowning
2021.png	man frowning	🙍‍♂️️	\U0001F64D\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64D U+200D U+2642 U+FE0F	man frowning
2022.png	woman frowning	🙍‍♀️️	\U0001F64D\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64D U+200D U+2640 U+FE0F	woman frowning
2023.png	person pouting	🙎️	\U0001F64E\U0000FE0F	U+1F64E	person pouting
2024.png	man pouting	🙎‍♂️️	\U0001F64E\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64E U+200D U+2642 U+FE0F	man pouting
2025.png	woman pouting	🙎‍♀️️	\U0001F64E\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64E U+200D U+2640 U+FE0F	woman pouting
2026.png	person gesturing NO	🙅️	\U0001F645\U0000FE0F	U+1F645	person gesturing NO
2027.png	man gesturing NO	🙅‍♂️️	\U0001F645\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F645 U+200D U+2642 U+FE0F	man gesturing NO
